Patch No:,Patch Name:,Patch Hold Mode:,Patch Split Low:,Patch Split High:,Patch Arp. Mode:,Patch Arp. Speed:,Patch Arp. Length:,Patch Pick Sens.:,Sound1 Program:,Sound1 Bank LSB:,Sound1 Bank MSB:,Sound1 Quantize Mode:,Sound1 Transpose:,Sound1 Volume:,Sound1 Dynamics Sens:,Sound1 Dynamics Offs:,Sound1 Reverb:,Sound2 Program:,Sound2 Bank LSB:,Sound2 Bank MSB:,Sound2 Quantize Mode:,Sound2 Transpose:,Sound2 Volume:,Sound2 Dynamics Sens:,Sound2 Dynamics Offs:,Sound2 Reverb:,Sound3 Program:,Sound3 Bank LSB:,Sound3 Bank MSB:,Sound3 Quantize Mode:,Sound3 Transpose:,Sound3 Volume:,Sound3 Dynamics Sens:,Sound3 Dynamics Offs:,Sound3 Reverb:,Sound4 Program:,Sound4 Bank LSB:,Sound4 Bank MSB:,Sound4 Quantize Mode:,Sound4 Transpose:,Sound4 Volume:,Sound4 Dynamics Sens:,Sound4 Dynamics Offs:,Sound4 Reverb:,Hold Program:,Hold Bank LSB:,Hold Bank MSB:,Hold Quantize Mode:,Hold Transpose:,Hold Volume:,Hold Dynamics Sens:,Hold Dynamics Offs:,Hold Reverb:,Mono/Poly:,Sound1 Enable:,Sound2 Enable:,Sound3 Enable:,Sound4 Enable:,Hold Enable:
46,"Poly Program 46",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,45,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
47,"Poly Program 47",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,46,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
48,"Poly Program 48",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,47,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
49,"Poly Program 49",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,48,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
50,"Poly Program 50",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,49,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
51,"Poly Program 51",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,50,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
52,"Poly Program 52",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,51,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
53,"Poly Program 53",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,52,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
54,"Poly Program 54",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,53,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
55,"Poly Program 55",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,54,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
56,"Poly Program 56",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,55,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
57,"Poly Program 57",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,56,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
